site_record_id,site_id,site_latitude,site_longitude,fish_passage_feature_type_code,feature_type
34632,999077,45.59461924,-122.13392471,1,Culvert
35606,999450,45.58903438,-122.49182756,1,Culvert
8261,28.0231   2.60,45.5948713,-122.1930283,1,Culvert
34558,999073,45.59099369,-122.50268402,1,Culvert
35612,999456,45.5923823,-122.48825608,1,Culvert
34691,999078,45.59872581,-122.11736517,1,Culvert
34559,999020,45.59366452,-122.51012182,1,Culvert
34633,999079,45.60005756,-122.11422099,1,Culvert
34628,999080,45.60185549,-122.11006418,1,Culvert
35613,999457,45.5965881,-122.48113193,1,Culvert
34681,999081,45.60267167,-122.09986467,1,Culvert
33918,1350342,45.60085,-122.32202,1,Culvert
16659,995860,45.59742949,-122.52529378,1,Culvert
34682,999082,45.60466846,-122.09459131,1,Culvert
34683,999083,45.60496513,-122.09331789,1,Culvert
16660,995861,45.5982224,-122.52771886,1,Culvert
34684,999084,45.60584859,-122.09055544,1,Culvert
238042,700258,45.598808,-122.545605,1,Culvert
238043,700257,45.598992,-122.54547,1,Culvert
34685,999085,45.60640975,-122.08833653,1,Culvert
238044,700259,45.59927,-122.54425,1,Culvert
34686,999086,45.60678814,-122.08706101,1,Culvert
11352,990060,45.6046707,-122.2286695,1,Culvert
34687,999087,45.6068313,-122.08654823,1,Culvert
238046,700240,45.59957,-122.54134,1,Culvert
36764,999796,45.60719725,-122.07178,1,Culvert
34698,999089,45.60785827,-122.07407217,1,Culvert
34693,999098,45.60795424,-122.07322009,1,Culvert
33915,1350339,45.60438,-122.31496,1,Culvert
36787,999795,45.60837146,-122.07425219,1,Culvert
10831,981721,45.6063228,-122.2326452,1,Culvert
212413,921262,45.603556,-122.408084,1,Culvert
116952,700076,45.605194,-122.331041,1,Culvert
34638,999090,45.60950331,-122.06661333,1,Culvert
212414,921267,45.601943,-122.5612,1,Culvert
212415,921268,45.602494,-122.559107,1,Culvert
212416,921269,45.602659,-122.560423,1,Culvert
14845,993767,45.6196899,-121.1452103,1,Culvert
33917,1350341,45.60722,-122.33175,1,Culvert
212419,921264,45.604264,-122.555574,1,Culvert
16661,995862,45.604616,-122.555897,1,Culvert
33919,1350343,45.60856,-122.35152,1,Culvert
30726,132041013,45.61102,-122.23643,1,Culvert
16663,995864,45.60615026,-122.56395308,1,Culvert
16662,995863,45.60633366,-122.56439401,1,Culvert
14846,993768,45.6236877,-121.1473083,1,Culvert
33939,1350370,45.61149,-122.32166,1,Culvert
17916,997384,45.60746174,-122.56844653,1,Culvert
16658,995859,45.60764129,-122.56755167,1,Culvert
33916,1350340,45.61248,-122.3112,1,Culvert
36571,994856,45.61725011,-122.04349568,1,Culvert
17915,997383,45.60889955,-122.57369469,1,Culvert
17914,997382,45.60929814,-122.57720254,1,Culvert
34280,982012,45.61553658,-122.2498731,1,Culvert
34281,982013,45.61562719,-122.244946,1,Culvert
36572,994857,45.61914093,-122.04471986,1,Culvert
34279,982011,45.61661008,-122.25146076,1,Culvert
34278,982010,45.61726205,-122.25332697,1,Culvert
36573,994855,45.62049646,-122.04890959,1,Culvert
34277,982009,45.61776197,-122.2543114,1,Culvert
34293,982025,45.61782766,-122.25120086,1,Culvert
8264,28.0298   0.20,45.6212311,-122.0232588,1,Culvert
212420,921261,45.615439,-122.417607,1,Culvert
34249,982008,45.61816612,-122.2550893,1,Culvert
34292,982024,45.61858448,-122.25402755,1,Culvert
34291,982023,45.61870726,-122.25462714,1,Culvert
34284,982016,45.61908398,-122.24245447,1,Culvert
34290,982022,45.61890895,-122.25476327,1,Culvert
34285,982017,45.619309199999996,-122.24237644,1,Culvert
28379,810117,45.61940084,-122.25514551,1,Culvert
11771,990488,45.62303814,-122.025348,1,Culvert
33931,1350359,45.61983,-122.26357,1,Culvert
33927,1350353,45.61873,-122.34019,1,Culvert
34287,982019,45.62212655,-122.24215324,1,Culvert
33940,1350371,45.62054,-122.34586,1,Culvert
33926,1350352,45.62132,-122.33868,1,Culvert
34289,982021,45.6241353,-122.24318197,1,Culvert
34429,999062,45.62158845,-122.40379734,1,Culvert
33928,1350354,45.62335,-122.33485,1,Culvert
33945,1350376,45.62308,-122.35796,1,Culvert
33946,1350377,45.62343,-122.35085,1,Culvert
33920,1350344,45.62302,-122.37626,1,Culvert
33936,1350367,45.62523,-122.25121,1,Culvert
33930,1350356,45.62609,-122.27926,1,Culvert
33933,1350362,45.6263,-122.28033,1,Culvert
34695,999094,45.63057827,-122.01809895,1,Culvert
33934,1350364,45.62716,-122.25615,1,Culvert
34696,999095,45.63116662,-122.01748537,1,Culvert
30800,132041581a,45.62852,-122.21044,1,Culvert
30801,132041581b,45.62895,-122.21005,1,Culvert
33929,1350355,45.62772,-122.31395,1,Culvert
33944,1350375,45.62838,-122.2802,1,Culvert
33942,1350373,45.62852,-122.28389,1,Culvert
8260,28.0229   0.50,45.6289,-122.26564,1,Culvert
30802,132041581c,45.62996,-122.21075,1,Culvert
33943,1350374,45.62962,-122.28065,1,Culvert
33947,1350378,45.62938,-122.33189,1,Culvert
