ua_dist,ua_nn_name,uc_dist,uc_nn_name
29629.27024285532,"Grants Pass, OR Urbanized Area",25516.943846673534,"Shady Cove, OR Urban Cluster"
22074.514957801814,"Medford, OR Urbanized Area",5519.353508156806,"Shady Cove, OR Urban Cluster"
29694.902411922096,"Medford, OR Urbanized Area",9935.487414864052,"Shady Cove, OR Urban Cluster"
29773.40643699575,"Medford, OR Urbanized Area",10018.305467241516,"Shady Cove, OR Urban Cluster"
30067.507606992614,"Medford, OR Urbanized Area",10261.760898032453,"Shady Cove, OR Urban Cluster"
27375.85578525368,"Grants Pass, OR Urbanized Area",19427.53052889784,"Tri-City--Myrtle Creek, OR Urban Cluster"
22696.018604964956,"Grants Pass, OR Urbanized Area",22696.018604964956,"Grants Pass, OR Urbanized Area"
22703.438105759764,"Grants Pass, OR Urbanized Area",22703.438105759764,"Grants Pass, OR Urbanized Area"
28041.08690608151,"Grants Pass, OR Urbanized Area",28041.08690608151,"Grants Pass, OR Urbanized Area"
28369.378424686478,"Grants Pass, OR Urbanized Area",28344.472636738254,"Tri-City--Myrtle Creek, OR Urban Cluster"
6920.834654236968,"Grants Pass, OR Urbanized Area",6920.834654236968,"Grants Pass, OR Urbanized Area"
23334.822926285913,"Grants Pass, OR Urbanized Area",23334.822926285913,"Grants Pass, OR Urbanized Area"
6994.779184743906,"Grants Pass, OR Urbanized Area",6994.779184743906,"Grants Pass, OR Urbanized Area"
49246.617705530574,"Medford, OR Urbanized Area",22813.73468264921,"Tri-City--Myrtle Creek, OR Urban Cluster"
61511.44438478034,"Grants Pass, OR Urbanized Area",13940.22998451268,"Roseburg, OR Urban Cluster"
64796.526265031804,"Eugene, OR Urbanized Area",40350.472159182675,"Sutherlin, OR Urban Cluster"
41597.961857253424,"Grants Pass, OR Urbanized Area",3848.8848225935913,"Tri-City--Myrtle Creek, OR Urban Cluster"
73799.74896527287,"Eugene, OR Urbanized Area",22679.237830234906,"Sutherlin, OR Urban Cluster"
29466.732165325484,"Eugene, OR Urbanized Area",21594.394646252273,"Veneta, OR Urban Cluster"
28549.638697954964,"Eugene, OR Urbanized Area",20790.091841135094,"Veneta, OR Urban Cluster"
39149.38186228768,"Portland, OR--WA Urbanized Area",22867.793370265674,"Tillamook, OR Urban Cluster"
23379.4188546737,"Grants Pass, OR Urbanized Area",23221.554877300834,"Shady Cove, OR Urban Cluster"
43893.63496952792,"Lewiston, ID--WA Urbanized Area",43893.63496952792,"Lewiston, ID--WA Urbanized Area"
38027.163613627425,"Lewiston, ID--WA Urbanized Area",38027.163613627425,"Lewiston, ID--WA Urbanized Area"
36381.324605886366,"Lewiston, ID--WA Urbanized Area",36381.324605886366,"Lewiston, ID--WA Urbanized Area"
50199.5242940264,"Walla Walla, WA--OR Urbanized Area",45124.62511763746,"La Grande, OR Urban Cluster"
52144.4796988488,"Walla Walla, WA--OR Urbanized Area",44258.016083005095,"La Grande, OR Urban Cluster"
107441.75411754246,"Spokane, WA Urbanized Area",57133.8319014609,"Omak, WA Urban Cluster"
12693.237255451737,"Spokane, WA Urbanized Area",12693.237255451737,"Spokane, WA Urbanized Area"
50717.09753543726,"Spokane, WA Urbanized Area",50717.09753543726,"Spokane, WA Urbanized Area"
49618.34116836733,"Spokane, WA Urbanized Area",49618.34116836733,"Spokane, WA Urbanized Area"
48962.0417278664,"Spokane, WA Urbanized Area",48962.0417278664,"Spokane, WA Urbanized Area"
12693.237255451737,"Spokane, WA Urbanized Area",12693.237255451737,"Spokane, WA Urbanized Area"
49618.34116836733,"Spokane, WA Urbanized Area",49618.34116836733,"Spokane, WA Urbanized Area"
49618.34116836733,"Spokane, WA Urbanized Area",49618.34116836733,"Spokane, WA Urbanized Area"
46639.79090818797,"Spokane, WA Urbanized Area",46639.79090818797,"Spokane, WA Urbanized Area"
51466.9860794167,"Spokane, WA Urbanized Area",51466.9860794167,"Spokane, WA Urbanized Area"
50432.29667881433,"Spokane, WA Urbanized Area",50432.29667881433,"Spokane, WA Urbanized Area"
49618.34116836733,"Spokane, WA Urbanized Area",49618.34116836733,"Spokane, WA Urbanized Area"
9726.242395686328,"Spokane, WA Urbanized Area",9726.242395686328,"Spokane, WA Urbanized Area"
9726.242395686328,"Spokane, WA Urbanized Area",9726.242395686328,"Spokane, WA Urbanized Area"
10378.802735391788,"Spokane, WA Urbanized Area",10378.802735391788,"Spokane, WA Urbanized Area"
51011.470676342375,"Spokane, WA Urbanized Area",51011.470676342375,"Spokane, WA Urbanized Area"
21037.399768507552,"Spokane, WA Urbanized Area",21037.399768507552,"Spokane, WA Urbanized Area"
61921.839958891986,"Walla Walla, WA--OR Urbanized Area",21444.155345698135,"La Grande, OR Urban Cluster"
62090.63120775727,"Walla Walla, WA--OR Urbanized Area",24577.1147201509,"La Grande, OR Urban Cluster"
61921.839958891986,"Walla Walla, WA--OR Urbanized Area",21444.155345698135,"La Grande, OR Urban Cluster"
61921.839958891986,"Walla Walla, WA--OR Urbanized Area",21444.155345698135,"La Grande, OR Urban Cluster"
171622.00749602067,"Walla Walla, WA--OR Urbanized Area",72658.09467562522,"Baker City, OR Urban Cluster"
929.0768552329648,"Walla Walla, WA--OR Urbanized Area",929.0768552329648,"Walla Walla, WA--OR Urbanized Area"
168323.66274263032,"Bend, OR Urbanized Area",90745.64584331821,"Burns, OR Urban Cluster"
65132.90819828771,"Walla Walla, WA--OR Urbanized Area",20716.491530871404,"Pendleton, OR Urban Cluster"
64723.11680238539,"Walla Walla, WA--OR Urbanized Area",20704.96905965445,"Pendleton, OR Urban Cluster"
64723.11680238539,"Walla Walla, WA--OR Urbanized Area",20704.96905965445,"Pendleton, OR Urban Cluster"
173271.81862025804,"Walla Walla, WA--OR Urbanized Area",91251.37498399899,"Burns, OR Urban Cluster"
162332.42761712632,"Walla Walla, WA--OR Urbanized Area",71853.84765786504,"Baker City, OR Urban Cluster"
99973.90576316284,"Bend, OR Urbanized Area",58565.944254656744,"Prineville, OR Urban Cluster"
101462.62071276362,"Bend, OR Urbanized Area",61332.30503508174,"Prineville, OR Urban Cluster"
105708.99914589767,"Bend, OR Urbanized Area",64161.24178533104,"Prineville, OR Urban Cluster"
147201.4295501813,"Walla Walla, WA--OR Urbanized Area",100002.50559167707,"Pendleton, OR Urban Cluster"
173850.5775463944,"Bend, OR Urbanized Area",86894.04481142084,"Burns, OR Urban Cluster"
174073.39475898433,"Bend, OR Urbanized Area",88003.9731380898,"Burns, OR Urban Cluster"
108431.70548720974,"Kennewick--Pasco, WA Urbanized Area",48411.73976340961,"Goldendale, WA Urban Cluster"
119210.75877892772,"Bend, OR Urbanized Area",79603.99699344028,"Prineville, OR Urban Cluster"
50702.1620567074,"Walla Walla, WA--OR Urbanized Area",4125.480259928859,"Pendleton, OR Urban Cluster"
165335.78092394298,"Walla Walla, WA--OR Urbanized Area",71471.33657194051,"Baker City, OR Urban Cluster"
148980.5072656867,"Walla Walla, WA--OR Urbanized Area",101567.66121926154,"Pendleton, OR Urban Cluster"
169099.9168263594,"Bend, OR Urbanized Area",90655.76774012123,"Burns, OR Urban Cluster"
176691.76476326532,"Walla Walla, WA--OR Urbanized Area",87908.52340211086,"Burns, OR Urban Cluster"
147692.04695111184,"Walla Walla, WA--OR Urbanized Area",100601.02372642688,"Pendleton, OR Urban Cluster"
169099.9168263594,"Bend, OR Urbanized Area",90655.76774012123,"Burns, OR Urban Cluster"
100945.06298613039,"Bend, OR Urbanized Area",59823.793581148726,"Prineville, OR Urban Cluster"
101441.38501180921,"Bend, OR Urbanized Area",60116.44545219277,"Prineville, OR Urban Cluster"
102152.72973010667,"Bend, OR Urbanized Area",60911.868863789576,"Prineville, OR Urban Cluster"
173271.81862025804,"Walla Walla, WA--OR Urbanized Area",91251.37498399899,"Burns, OR Urban Cluster"
148980.5072656867,"Walla Walla, WA--OR Urbanized Area",101567.66121926154,"Pendleton, OR Urban Cluster"
116095.87676925056,"Walla Walla, WA--OR Urbanized Area",71015.02918363827,"La Grande, OR Urban Cluster"
128558.09094690358,"Bend, OR Urbanized Area",84854.13231927731,"Madras, OR Urban Cluster"
127922.8386908802,"Bend, OR Urbanized Area",81756.00028731673,"Madras, OR Urban Cluster"
154171.16562332973,"Walla Walla, WA--OR Urbanized Area",52002.00099126662,"Baker City, OR Urban Cluster"
90011.82559283236,"Spokane, WA Urbanized Area",25015.931683751634,"Colville, WA Urban Cluster"
