invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
2241,355385.608,429805.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.174,0.45261029385946716,0.5473897061405328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2242,700874.6020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700874.6020000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2243,561005.081,3973.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564978.843,0.9929665295448948,0.007033470455105166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2244,179979.727,32034.096999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212013.82400000002,0.8489056213617466,0.15109437863825328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2245,50514.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50514.348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2246,140.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2247,36801.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36801.278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2248,270680.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270680.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2249,509624.396,60415.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570040.004,0.894015143540698,0.10598485645930211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2250,459930.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459930.746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2251,681755.0260000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681755.0260000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2252,335165.399,450025.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.4268583378483803,0.5731416621516198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2253,541588.808,243602.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.6897540708853588,0.3102459291146412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2254,693839.821,91351.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.8836571842103478,0.11634281578965229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2255,193588.71000000002,238725.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432313.971,0.44779656218882646,0.5522034378111735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2256,379707.661,52606.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432313.971,0.8783145733682524,0.12168542663174768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2257,418655.734,13658.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432313.971,0.9684066721961201,0.03159332780387983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2258,496484.053,288707.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.6323097738135169,0.3676902261864831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2259,404972.279,380218.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.174,0.5157626478873284,0.48423735211267166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2260,536721.758,248469.41499999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.68355551674038,0.31644448325962016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2261,440453.309,344737.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.174,0.5609504074736327,0.4390495925263673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2262,395298.831,389892.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.5034427851368625,0.4965572148631376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2263,723504.609,18719.773,0,0,0,0,0,0,0,0,0,42966.792,0,0,0,0,0,0,0,0,0,0,785191.1740000001,0.9214375211507407,0.023841038488290493,0,0,0,0,0,0,0,0,0,0.054721440360968696,0,0,0,0,0,0,0,0,0,0,1
