project_id,worksite_id,project_year,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,fips,county,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other,nlcd_2001,nlcd_2004,nlcd_2006,nlcd_2008,nlcd_2011,nlcd_2013,nlcd_2016,snet_distm,snet_name,snet_spp,snet_use,nhd_dist_m,nhd_leng_m,nhd_r_code,nhd_ftype,slope_deg,here_distm,here_speed,here_class,here_paved,here_publi,geometry
BLM - BLM_293,BLM - BLM_293-WS-1,2002,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,4676.82,Middle Fork Coquille River,Steelhead,Spawning and rearing,0.14,396.59,17100305000727,460,3.18266034,4.43,7,5,N,Y,"c(-123.73714, 43.01435)"
BLM - BLM_293,BLM - BLM_293-WS-2,2002,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,-999.99,NA,NA,NA,2.63,529.11,17100305006215,460,3.66190481,10.6,7,5,N,Y,"c(-123.74237, 43.02064)"
BLM - BLM_296,BLM - BLM_296-WS-1,2002,OR,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,161158.83726812297,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,43,43,43,43,43,43,43,5.44,Weaver Creek,Coho salmon,Spawning and rearing,5.96,204.48,17100302000533,460,3.51915169,1.14,7,5,N,Y,"c(-123.06959, 43.09642)"
BLM - BLM_297,BLM - BLM_297-WS-1,2002,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,47819.55694289363,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,1.99,NA,Steelhead,Spawning and rearing,1.99,443,17100303011615,460,3.06072998,6.08,5,5,Y,Y,"c(-123.16723, 43.66909)"
BLM - BLM_298,BLM - BLM_298-WS-1,2002,OR,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109504.01325099784,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,35.87,Canton Creek,Steelhead,Spawning and rearing,12.08,215.79,17100301001878,460,1.26906312,7.75,7,5,N,Y,"c(-122.76955, 43.44292)"
BLM - BLM_299,BLM - BLM_299-WS-1,2002,OR,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,143035.91822382342,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,71,71,52,0.37,NA,Steelhead,Spawning and rearing,0.62,217.09,17100301000594,460,7.12093258,3.86,7,5,N,Y,"c(-122.92389, 43.38764)"
BLM - BLM_300,BLM - BLM_300-WS-1,2002,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,71,71,71,71,71,71,71,0.92,Gassy Creek,Coho salmon,Spawning and rearing,0.92,496,17100303000185,460,4.90621471,0.1,7,5,N,Y,"c(-123.12266, 43.39122)"
BLM - BLM_300,BLM - BLM_300-WS-2,2002,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,71,71,71,71,71,71,71,0.97,Field Creek,Steelhead,Spawning and rearing,0.97,259.69,17100303001051,460,1.68028951,3.97,5,5,Y,Y,"c(-123.11277, 43.41042)"
BLM - BLM_301,BLM - BLM_301-WS-1,2002,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,138607.41142867718,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,915.27,Cavitt Creek,Steelhead,Spawning and rearing,0.4,744,17100301000868,460,9.07532978,9.66,7,5,N,Y,"c(-123.01903, 43.18397)"
BLM - BLM_302,BLM - BLM_302-WS-1,2002,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,0.25,Andrews Creek,Coho salmon,Spawning and rearing,0.25,45,17100303000264,460,3.08274889,5.66,7,5,N,Y,"c(-123.39823, 43.57981)"
